"Time [ms]","CPU usage [%]","GC activity [%]","Size [B]","Used [B]"
"10:15:05.695, 29 Apr 2021","1,9","0,0","828 375 072","597 906 944"
"10:15:06.695, 29 Apr 2021","2,4","0,0","828 375 072","612 587 008"
"10:15:07.695, 29 Apr 2021","4,1","0,0","828 375 072","146 062 496"
"10:15:08.695, 29 Apr 2021","2,4","0,0","828 375 072","160 742 560"
"10:15:09.695, 29 Apr 2021","2,5","0,0","828 375 072","175 422 624"
"10:15:10.696, 29 Apr 2021","2,3","0,0","828 375 072","192 199 840"
"10:15:11.696, 29 Apr 2021","2,0","0,0","828 375 072","206 879 904"
"10:15:12.696, 29 Apr 2021","2,2","0,0","828 375 072","223 657 120"
"10:15:13.696, 29 Apr 2021","2,1","0,0","828 375 072","238 337 184"
"10:15:14.696, 29 Apr 2021","2,1","0,0","828 375 072","255 114 400"
"10:15:15.696, 29 Apr 2021","2,3","0,0","828 375 072","269 794 464"
"10:15:16.696, 29 Apr 2021","2,2","0,0","828 375 072","286 571 680"
"10:15:17.697, 29 Apr 2021","2,1","0,0","828 375 072","303 348 896"
"10:15:18.697, 29 Apr 2021","2,1","0,0","828 375 072","318 028 960"
"10:15:19.697, 29 Apr 2021","2,1","0,0","828 375 072","332 709 024"
"10:15:20.697, 29 Apr 2021","2,7","0,0","828 375 072","351 583 392"
"10:15:21.697, 29 Apr 2021","2,4","0,0","828 375 072","368 360 608"
"10:15:22.697, 29 Apr 2021","1,9","0,0","828 375 072","383 040 672"
"10:15:23.697, 29 Apr 2021","2,4","0,0","828 375 072","399 817 888"
"10:15:24.698, 29 Apr 2021","2,5","0,0","828 375 072","416 595 104"
"10:15:25.698, 29 Apr 2021","2,2","0,0","828 375 072","431 275 168"
"10:15:26.698, 29 Apr 2021","2,3","0,0","828 375 072","448 052 384"
"10:15:27.698, 29 Apr 2021","2,3","0,0","828 375 072","462 732 448"
"10:15:28.698, 29 Apr 2021","2,2","0,0","828 375 072","479 509 664"
"10:15:29.698, 29 Apr 2021","2,4","0,0","828 375 072","496 286 880"
"10:15:30.698, 29 Apr 2021","2,4","0,0","828 375 072","513 064 096"
"10:15:31.698, 29 Apr 2021","2,3","0,0","828 375 072","529 841 312"
"10:15:32.698, 29 Apr 2021","2,3","0,0","828 375 072","546 618 528"
"10:15:33.699, 29 Apr 2021","2,0","0,0","828 375 072","561 298 592"
"10:15:34.699, 29 Apr 2021","2,2","0,0","828 375 072","578 075 808"
"10:15:35.699, 29 Apr 2021","2,1","0,0","828 375 072","592 755 872"
"10:15:36.699, 29 Apr 2021","2,2","0,0","828 375 072","609 533 088"
"10:15:37.699, 29 Apr 2021","3,0","0,0","828 375 072","141 534 912"
"10:15:38.699, 29 Apr 2021","8,6","0,0","828 375 072","214 935 232"
"10:15:39.699, 29 Apr 2021","4,1","0,0","828 375 072","240 101 056"
"10:15:40.700, 29 Apr 2021","2,1","0,0","828 375 072","254 781 120"
"10:15:41.700, 29 Apr 2021","0,0","0,0","828 375 072","256 878 272"
"10:15:42.700, 29 Apr 2021","0,1","0,0","828 375 072","258 975 424"
"10:15:43.700, 29 Apr 2021","1,8","0,0","828 375 072","273 655 488"
"10:15:44.700, 29 Apr 2021","2,2","0,0","828 375 072","288 335 552"
"10:15:45.700, 29 Apr 2021","2,8","0,0","828 375 072","305 112 768"
"10:15:46.700, 29 Apr 2021","4,4","0,0","828 375 072","332 375 744"
"10:15:47.700, 29 Apr 2021","2,6","0,0","828 375 072","349 152 960"
"10:15:48.701, 29 Apr 2021","0,3","0,0","828 375 072","355 444 416"
"10:15:49.701, 29 Apr 2021","0,0","0,0","828 375 072","357 541 568"
"10:15:50.701, 29 Apr 2021","0,0","0,0","828 375 072","359 638 720"
"10:15:51.701, 29 Apr 2021","2,1","0,0","828 375 072","374 318 784"
"10:15:52.701, 29 Apr 2021","1,4","0,0","828 375 072","384 804 544"
"10:15:53.701, 29 Apr 2021","2,3","0,0","828 375 072","401 581 760"
"10:15:54.701, 29 Apr 2021","2,1","0,0","828 375 072","416 261 824"
"10:15:55.702, 29 Apr 2021","2,4","0,0","828 375 072","430 941 888"
"10:15:56.702, 29 Apr 2021","2,9","0,0","828 375 072","454 010 560"
"10:15:57.702, 29 Apr 2021","2,8","0,0","828 375 072","472 884 928"
"10:15:58.702, 29 Apr 2021","2,3","0,0","828 375 072","485 467 840"
"10:15:59.702, 29 Apr 2021","1,7","0,0","828 375 072","498 050 752"
"10:16:00.702, 29 Apr 2021","2,1","0,0","828 375 072","514 827 968"
"10:16:01.702, 29 Apr 2021","2,5","0,0","828 375 072","533 702 336"
"10:16:02.703, 29 Apr 2021","1,1","0,0","828 375 072","544 188 096"
"10:16:03.703, 29 Apr 2021","0,7","0,0","828 375 072","548 382 400"
"10:16:04.703, 29 Apr 2021","2,7","0,0","828 375 072","569 353 920"
"10:16:05.703, 29 Apr 2021","1,8","0,0","828 375 072","581 936 832"
"10:16:06.703, 29 Apr 2021","2,9","0,0","828 375 072","602 908 352"
"10:16:07.703, 29 Apr 2021","0,3","0,0","828 375 072","605 005 504"
"10:16:08.703, 29 Apr 2021","3,6","0,1","828 375 072","149 929 184"
"10:16:09.703, 29 Apr 2021","1,4","0,0","828 375 072","158 317 792"
"10:16:10.704, 29 Apr 2021","2,1","0,0","828 375 072","175 095 008"
"10:16:11.704, 29 Apr 2021","3,4","0,0","828 375 072","200 260 832"
"10:16:12.704, 29 Apr 2021","0,0","0,0","828 375 072","202 357 984"
"10:16:13.704, 29 Apr 2021","2,9","0,0","828 375 072","221 232 352"
"10:16:14.704, 29 Apr 2021","1,4","0,0","828 375 072","231 718 112"
"10:16:15.704, 29 Apr 2021","4,2","0,0","828 375 072","254 786 784"
"10:16:16.704, 29 Apr 2021","0,5","0,0","828 375 072","263 175 392"
"10:16:17.704, 29 Apr 2021","2,3","0,0","828 375 072","275 758 304"
"10:16:18.705, 29 Apr 2021","1,5","0,0","828 375 072","286 244 064"
"10:16:19.705, 29 Apr 2021","2,0","0,0","828 375 072","300 924 128"
"10:16:20.705, 29 Apr 2021","1,9","0,0","828 375 072","313 507 040"
"10:16:21.705, 29 Apr 2021","2,6","0,0","828 375 072","330 284 256"
"10:16:22.705, 29 Apr 2021","1,6","0,0","828 375 072","344 964 320"
"10:16:23.705, 29 Apr 2021","2,1","0,0","828 375 072","357 547 232"
"10:16:24.705, 29 Apr 2021","2,8","0,0","828 375 072","376 421 600"
"10:16:25.705, 29 Apr 2021","2,2","0,0","828 375 072","391 101 664"
"10:16:26.706, 29 Apr 2021","1,7","0,0","828 375 072","403 684 576"
"10:16:27.706, 29 Apr 2021","2,9","0,0","828 375 072","422 558 944"
"10:16:28.706, 29 Apr 2021","0,3","0,0","828 375 072","428 850 400"
"10:16:29.706, 29 Apr 2021","2,8","0,0","828 375 072","445 627 616"
"10:16:30.706, 29 Apr 2021","1,7","0,0","828 375 072","462 404 832"
"10:16:31.706, 29 Apr 2021","3,1","0,0","828 375 072","485 473 504"
"10:16:32.706, 29 Apr 2021","2,7","0,0","828 375 072","504 347 872"
"10:16:33.707, 29 Apr 2021","4,8","0,0","828 375 072","537 902 304"
"10:16:34.707, 29 Apr 2021","2,2","0,0","828 375 072","548 388 064"
"10:16:35.707, 29 Apr 2021","0,9","0,0","828 375 072","560 970 976"
"10:16:36.707, 29 Apr 2021","0,1","0,0","828 375 072","563 068 128"
"10:16:37.707, 29 Apr 2021","0,0","0,0","828 375 072","565 165 280"
"10:16:38.707, 29 Apr 2021","0,9","0,0","828 375 072","573 553 888"
"10:16:39.707, 29 Apr 2021","1,6","0,0","828 375 072","586 136 800"
"10:16:40.708, 29 Apr 2021","3,5","0,0","828 375 072","611 302 624"
"10:16:41.708, 29 Apr 2021","1,2","0,0","828 375 072","621 788 384"
"10:16:42.708, 29 Apr 2021","1,1","0,1","828 375 072","150 795 456"
"10:16:43.708, 29 Apr 2021","4,7","0,0","828 375 072","178 058 432"
"10:16:44.708, 29 Apr 2021","2,4","0,0","828 375 072","194 835 648"
"10:16:45.708, 29 Apr 2021","0,1","0,0","828 375 072","199 029 952"
"10:16:46.708, 29 Apr 2021","0,0","0,0","828 375 072","201 127 104"
"10:16:47.708, 29 Apr 2021","3,9","0,0","828 375 072","224 195 776"
"10:16:48.709, 29 Apr 2021","0,4","0,0","828 375 072","228 390 080"
"10:16:49.709, 29 Apr 2021","3,6","0,0","828 375 072","249 361 600"
"10:16:50.709, 29 Apr 2021","1,3","0,0","828 375 072","255 653 056"
"10:16:51.709, 29 Apr 2021","4,5","0,0","828 375 072","285 013 184"
"10:16:52.709, 29 Apr 2021","0,2","0,0","828 375 072","291 304 640"
"10:16:53.709, 29 Apr 2021","2,3","0,0","828 375 072","310 179 008"
"10:16:54.709, 29 Apr 2021","5,0","0,0","828 375 072","345 830 592"
"10:16:55.709, 29 Apr 2021","3,7","0,0","828 375 072","370 996 416"
"10:16:56.710, 29 Apr 2021","2,1","0,0","828 375 072","383 579 328"
"10:16:57.710, 29 Apr 2021","1,8","0,0","828 375 072","391 967 936"
"10:16:58.710, 29 Apr 2021","1,4","0,0","828 375 072","404 550 848"
"10:16:59.710, 29 Apr 2021","0,1","0,0","828 375 072","410 842 304"
"10:17:00.710, 29 Apr 2021","0,0","0,0","828 375 072","412 939 456"
